name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
AGT,,Sfax,(216) - 98 747 530 / 74 211 340,https://fr.linkedin.com/company/agtworld?trk=public_profile_experience-item_profile-section-card_subtitle-click,https://agtwood.com,"Founded in 1984 with the dream that wood can be processed with technology and developed with industrial production, AGT (Wood Developing Technology) operates as one of the world's leading organizations in the furniture components and flooring industry today. AGT, which produces materials for many different sectors with its MDF, Melamine Faced MDF, Panel, Profile and Flooring production in modern production facilities with a total area of 450 thousand square meters, is positioned as an innovative and design-oriented brand of its sector since it benefits from technology and innovation. AGT, which is also accepted as the top segment and quality material manufacturer of the sectors such as furniture, decoration and construction it serves, adds value to our country's economy with its exports to more than 100 different countries on 5 continents. AGT, which is located in more than 1000 sales points in Turkey and abroad, carries out its activities with the mission of being a leading brand that ensures the happiness and loyalty of its stakeholders with its values, is sensitive to society and environment and grows by directing the sector. Adding color, elegance and sustainable vitality to the living space of millions of people who attach importance to quality and aesthetics, AGT has been a brand of furniture components industry that determines trends by closely following the developments in technology and design by being inspired by nature without compromising its ethical values and quality principles since its establishment.",1 001-5 000 employés,Fabrication de papier et de produits en papier,"ANTALYA, Turkey",Partenariat,1984,
AMEN,Matériel de distribution et commande électrique.,Nabeul,(216) - 98 729 546,https://fr.linkedin.com/company/amen,http://www.amen.fr,"Fondée en 1999, Amen appartient depuis 2008 au groupe Register, l'un des leaders européens dans la fourniture de noms de domaine, solutions d'hébergement, serveurs virtuels ou dédiés, sites ecommerce ou sites internet , positionnement dans les moteurs de recherche, protection de votre site, protection de votre marque sur internet et bien plus! Amen vous propose une gamme complète de produits et services déclinés en packs tout inclus en fonction de la taille de votre business ou de votre projet personnel. Amen n'a de cesse de développer des solutions innovantes, faciles d'utilisation, fiables et à des prix très compétitifs dans un unique objectif : vous accompagner dans la mise en place et le développement de votre identité numérique!",51-200 employés,"Technologie, information et Internet","Paris, Paris",Société civile/Société commerciale/Autres types de sociétés,,
AMMEL II,Composants électroniques.,Sousse,(216) - 73 253 668,https://fr.linkedin.com/company/ammel2-usinage-composite,www.ammel2.com,"Installée depuis 1981, en Tunisie, à Kalâa Kebira près de Sousse, spécialiste reconnu de l’usinage composite au Maghreb mais aussi en Europe, Ammel 2 met au service des professionnels son atelier pour la sous-traitance de leurs projets d’usinage composite et tout autre matériaux. Notre maîtrise va de la réalisation de pièces sur mesure à l’unité, à la production d’ensembles composés petite et grande série.",11-50 employés,Industrie manufacturière,Kalaa Kébira,Société civile/Société commerciale/Autres types de sociétés,1981,
AMPHENOLTUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 393,https://fr.linkedin.com/company/amphenol-tunisia-l-l-c-,,"Amphenol Tunisia L.L.C. is an Automotive company located in El Fahs, Zaghouan, Tunisia.",201-500 employés,Industrie automobile,"El Fahs, Zaghouan",,,
AMT,Matériel de distribution et commande électrique.,Sousse,(216) - 53 322 626,https://fr.linkedin.com/company/amt-transfert/,http://www.amttransfert.fr,"Créé en 1993, AMT est aujourd'hui implanté sur deux pôles majeurs d'activité, Paris et Puget-sur-Argens. Son expertise incontournable se fonde sur une politique commerciale rigoureuse et une méthodologie exclusive, offrant toute la sécurité d'une approche globale de l'ensemble des besoins de déménagement d'une entreprise. Une démarche aux avantages sans équivalent: réactivité instantanée, adaptation à toutes les contraintes, respect des délais pour éviter les pertes de productivité, qualité des services, optimisation des interventions, maîtrise des coûts... Notre expérience garantit votre tranquillité. Une progression régulière",51-200 employés,Transports routiers de fret,Courbevoie,Partenariat,1993,
AMTT,Composants électroniques.,Beja,(216) - 78 560 001 / 58 511 001,https://fr.linkedin.com/company/amtt-tunisie,www.augemicrotechnic.com/,"AMTT est une filiale du groupe français AUGE MICROTECHNIC GROUP, spécialisé dans la production de pièces techniques en métal et en plastique. Le groupe offre un large éventail de compétences, notamment le découpage de pièces techniques, dans l'injection et le surmoulage de pièces techniques en matières thermoplastiques et dans l’assemblage. Notre expertise s'étend également à l'assemblage de sous-ensembles et de produits finis, que ce soit de manière manuelle, semi-automatique ou automatique. Nous mettons nos compétences et notre savoir-faire au service de divers secteurs d'activité tels que l'automobile, l'électrique, l'électronique, l'aéronautique et le transport d'énergie Chez AMTT, nous sommes fiers de proposer des prestations s’appuyant sur des technologies différentes et complémentaires, telles que l’injection, le surmoulage, l’assemblage, le soudage, le découpage. Grâce à notre expérience et à notre engagement, nous sommes en mesure de répondre à des besoins exigeants et variés.",51-200 employés,Industrie manufacturière,"Béja, MEDJEZ EL BAB",Travailleur indépendant,2002,
ANT PRECISION TUNISIA,Matériels électriques pour moteurs et véhicules.,Ben Arous,(216) - 95 051 290,https://fr.linkedin.com/company/ant-precision-industry,http://www.ant-precision.com.tw,"ANT Precision Industry Co., Ltd. manufactures electrical connectors and wire harnesses for automotive, industrial, and consumer electronic applications. ANT offers in-house tooling development and fabrication as well as molding, stamping, and assembly services.",501-1 000 employés,"Fabrication d’appareils électroménagers, électriques et électroniques",Taipei,Société cotée en bourse,1999,
APTIV SERVICES TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 31 368 500 / 31 368 658,https://fr.linkedin.com/company/sumitomo-electric-wiring-systems,http://www.sewsus.com,"There is power in a trusted brand. At Sumitomo Electric Wiring Systems, Inc. (SEWS), we build our reputation on this. The Sumitomo family of companies is a 400 year old brand synonymous with quality and reliability. Delivering innovative solutions for today's intelligent cars is what we're all about - and for this reason, today we are a leading supplier of electrical distribution systems, components and electronics to the automotive industry. We are committed to producing the highest quality products, delivered on time and at a competitive cost in a safe and healthy environment. We are a subsidiary of Sumitomo Electric Industries, Ltd., a Fortune Global 500 Company.",1 001-5 000 employés,Fabrication de véhicules automobiles,"Bowling Green, KY",Société civile/Société commerciale/Autres types de sociétés,1986,
AQUATEC,Instruments de mesure et de contrôle.,Ben Arous,(216) - 71 448 899,https://fr.linkedin.com/company/aquatec-inc.,http://www.aquatecinc.com,For further information feel free to visit my web site,11-50 employés,Services de conseil en environnement,,Société civile/Société commerciale/Autres types de sociétés,,
ASEL,Composants électroniques.,Nabeul,(216) - 72 211 686,https://fr.linkedin.com/company/aseltelecomgroup,,"ASEL , Groupe Tunisien spécialisé dans la télécommunication et les services MVNO pour les particuliers et les entreprises .",11-50 employés,Opérateurs de télécommunications,Tunis,Société civile/Société commerciale/Autres types de sociétés,2021,
ASEM,Composants électroniques.,Nabeul,(216) - 22 202 418,https://fr.linkedin.com/company/asem-france,https://www.asemfrance.com,"ASEM France, concepteur de sorbonnes chimiques, d'armoires de sécurité, de hottes à filtration et de paillasses vous souhaite la bienvenue. ASEM France est une société française qui met en place des solutions d’ameublement en acier et en bois sur l’ensemble du marché francophone. Elle est reconnue pour la qualité de ses produits. Son site de production ainsi que sa maison mère se trouvent en Italie. ASEM France propose une offre globale unique et un savoir-faire pour apporter une solution de qualité à tous vos besoins.",2-10 employés,Fabrication de meubles et d’articles d’ameublement,"Courtry, Ile-de-France",Société civile/Société commerciale/Autres types de sociétés,2007,
ASIND,Accumulateurs et piles électriques.,Ben Arous,(216) - 70 279 380 / 70 279 381,https://fr.linkedin.com/company/asindinc,,Helping financial advisors scale. Inquiries: miles.hannah@asind.io,2-10 employés,Services de marketing,,Société civile/Société commerciale/Autres types de sociétés,,
ASSAD (BOUARGOUB),Accumulateurs et piles électriques.,Nabeul,(216) - 71 381 688 / 72 259 166,https://fr.linkedin.com/company/l-accumulateur-tunisien-assad?trk=ppro_cprof,http://www.atassad.com,"L'Accumulateur Tunisien ASSAD est une entreprise spécialisée dans la conception, la fabrication, la distribution et le recyclage d'accumulateurs électriques au plomb. Sa production couvre un large éventail d'utilisations : secteurs de l'automobile, de la marine, de l'énergie solaire, du loisir, de l'industrie, de l'informatique et des télécommunications. Créée en 1974, ASSAD, qui employait à l'époque un ingénieur et une douzaine d'ouvriers, a connu, au fil des ans, une croissance soutenue qui en fait, aujourd'hui le leader sur le marché national. La société dispose de deux usines modernes employant plus de 750 salariés dont 51 cadres hautement qualifiés. Les deux sites de production de l'entreprise sont situés à Bouargoub",501-1 000 employés,"Fabrication d’appareils électroménagers, électriques et électroniques","Tunis, Ben Arous",Société cotée en bourse,1974,
ASSCAB SRL,"Fils, câbles isolés et faisceaux de câbles.",Mahdia,(216) - 98 432 811,https://fr.linkedin.com/company/facom-srl-facom?trk=similar-pages_result-card_full-click,https://www.facom.it,"FACOM nasce nel 1996 dall’esperienza già ventennale del titolare da sempre inserito nel settore della costruzione di stampi, nello stampaggio di prodotti metallici e nella produzione di spine elastiche per tacchi. La FACOM da sempre pone come primo obiettivo la soddisfazione del cliente puntando sulla qualità dei prodotti e sulla costante ricerca di migliori tecniche di produzione. Pertanto l’impiego di tecnici specializzati che lavoravano a stretto contatto con tecnologie all’avanguardia fanno della FACOM il partner ideale per la Vostra impresa. D’altronde la FACOM è per chi ama la precisione.",11-50 employés,Fabrication de pièces tournées et d’éléments de fixation,"Castelfidardo, Italia",Société civile/Société commerciale/Autres types de sociétés,1996,
ASTEEL FLASH TUNISIE,Composants électroniques.,Ariana,(216) - 36 066 000,https://fr.linkedin.com/company/asteelflash-tunisia,https://www.asteelflash.com/facility/asteelflash-la-soukra/,"Asteelflash Tunisie est une filiale du groupe Asteelflash, un leader mondial des services de fabrication électronique (EMS) et des solutions de gestion de la chaîne d'approvisionnement, qui fait partie d'USI (SSE : 601231), Universal Scientific Industrial (Shanghai) Co., Ltd. depuis décembre 2020, avec 17 sites de fabrication et plus de 6'000 employés dans le monde entier. Asteelflash s'efforce d'offrir des capacités techniques avancées, des solutions de fabrication innovantes, un dévouement et un niveau de service élevé à tous ses partenaires. Du NPI à la production de masse et dans un large éventail de marchés technologiquement avancés, notre savoir-faire en matière d'ingénierie et nos solutions innovantes en matière de chaîne d'approvisionnement réduisent les délais de mise sur le marché, faisant ainsi des percées technologiques avec les produits de demain. Pour plus d'informations, veuillez consulter le site https://www.asteelflash.com/facility/asteelflash-la-soukra/",1 001-5 000 employés,Fabrication d’équipements électriques,"Tunis, La Soukra",Société civile/Société commerciale/Autres types de sociétés,,
ATEMS,Composants électroniques.,Nabeul,(216) - 72 399 181 / 72 399 414,https://fr.linkedin.com/company/atems,,"EMS spécialisé dans la sous-traitance de cartes électroniques, de câblage filaire, d'intégration de sous-ensembles et produits complets.",501-1 000 employés,"Fabrication d’appareils électroménagers, électriques et électroniques",SOLIMAN,Société civile/Société commerciale/Autres types de sociétés,,
ATI ELECTRONICS,"Appareils de réception, enregistrement ou reproduction du son et de l'image.",Zaghouan,(216) - 20 491 571 / 72 675 037,https://fr.linkedin.com/company/ati-electronics-tn,https://www.ati-group.tn/,"ATI GROUP - Innovateurs électroniques depuis 2009 🚀 Nous sommes un groupe d'entreprises spécialisées dans la vente et la production de produits électroniques innovants pour répondre aux besoins du marché. Notre histoire a commencé en 2009 avec la création de notre première entreprise commerciale, et depuis lors, nous avons constamment évolué pour devenir un leader dans l'industrie. En 2019, nous avons franchi une étape majeure en ouvrant deux centres de production dédiés à la fabrication de plusieurs produits électroniques de pointe. Cette expansion nous a permis de mieux servir nos clients et de continuer à innover dans le domaine de la technologie électronique. Chez ATI GROUP, nous sommes passionnés par la création de solutions électroniques de qualité qui améliorent la vie des gens et stimulent la croissance de nos partenaires commerciaux. Notre équipe dévouée travaille sans relâche pour rester à la pointe de l'innovation technologique. Rejoignez-nous dans notre mission de façonner l'avenir de l'électronique, et découvrez comment nos produits et services peuvent répondre à vos besoins. Ensemble, nous pouvons créer un avenir plus connecté et plus intelligent. #InnovationÉlectronique #ATIGROUP #TechnologieAvancée""",11-50 employés,Fabrication de produits informatiques et électroniques,"Zone Industrielle Charguia I, Zaghouan",Partenariat,2019,
ATS SOLAR,Appareils ménagers non électriques - Composants électroniques.,Monastir,(216) - 73 525 891,https://fr.linkedin.com/company/ats-engineering-sales-&-services,http://www.atsengg.com,"ATS Engineering (Advance Technical Solutions) designs, integrates and provides consultancy to successfully harness the benefits of renewable energy. Our current areas of focus are Solar Industrial Solutions, Solar Home Solutions, Solar Agricultural Solutions, Telecom industry, Oil fields, Gas pipelines (Oil & Gas Sector) and other various professional and commercial applications in Pakistan. We also intend to sell pre-designed set packages to consumer households. We have planned our services which include Consultation, Site Surveys and Planning, Financial Planning, Supply, Installation/Erectioning/Commissioning of solar power systems and training to the staff of our valued clients. Using in-house expertise in technological solutions and project management, we evaluate the viability of potential projects. HVAC  Heating Solutions (Radiators, Boilers)  Air-conditioning  Ventilations SYSTEM DESIGNING, INTEGRATION & ENGINEERING  Material Conveying  Air/Fan Balancing",11-50 employés,"Fabrication d’appareils électroménagers, électriques et électroniques","Islamabad, Pakistan, Punjab",Société civile/Société commerciale/Autres types de sociétés,2008,
AUTO CABLES TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 211 618,https://fr.linkedin.com/company/point-s-tunisie,http://www.point-s.com.tn/,"Notre expertise est l’équipement, l’entretien et les services automobiles. Que vous soyez particuliers ou professionnels, nous répondons à vos besoins en sur mesure ! Notre gamme de produits est large : Batteries, pneus, câbles de démarrage, équipements automobiles, produits d’embellissement, huiles et liquides techniques, outillages, plaquettes et disques de freins. Nos services sont divers : freinage, révision, vidange, vitrage, climatisation et décalaminage. Choisir POINT S c’est opter pour la fiabilité des produits et l’expertise en service ! La santé de votre véhicule est notre préoccupation. Nos équipes œuvrent à votre satisfaction !",11-50 employés,Entretien et réparation de véhicules,"ZI Charguia 1, Tunis",Société civile/Société commerciale/Autres types de sociétés,,
AUTRONIC,Composants électroniques.,Ben Arous,(216) - 70 022 500,https://fr.linkedin.com/company/autronic,http://www.autronic.com.mx,"Cement & Mines Engineering, Construction and Startup in Control & Instrumentation. Solution Provider of Rockwell Automation (Allen Bradley) in Chihuahua, Chih. México giving services in Latinoamerica and Caribbean. Approved contractor of FLSmidht - Automation division.",51-200 employés,Fabrication de machines d’automatisation,"Complejo Industrial Chihuahua, Chihuahua",Partenariat,1995,
AVO-CARBON TN,Composants électroniques.,Zaghouan,(216) - 58 588 801,https://fr.linkedin.com/company/avocarbon-group,https://www.avocarbon.com/,"🌍 Are you in the Automotive, Consumers Goods or power tools sector, on international industry, in America, Europe, China, Korea, North Africa and India? 📢 You are in the industrial field and you are a member of: • A Research & Development team • A purchasing team • A Commercial team Join us now and take action to get the best carbon products on the market! 💡 MAKE THE BEST DECISION WITH AVOCARBON. AVOCarbon is the leader in design, manufacturing, and distribution of motor carbon brushes, brush assemblies and inductors for the automotive industry and the consumers’ goods industry. 🎯Vision: Turn 100+ years of expertise in graphite/metal transformation into innovative reliable solu-tions for emotors applications. 🖋Mission: Offer state of the art, innovating technologies and services to excellence oriented customers everywhere in the world. 👍 We offer to our customers: • 100 years of experience at your service, with high quality products and focus in automotive • A worldwide organization • Diversified product portfolio • New products for electric vehicles & brushless motor • Competitive organization • Innovative solution • Early involvement into the project to propose the most efficient solution • Partnership ✔Our product Lines: We serve traction applications, Electronics application, comfort & auxiliary motors, electric pumps, dynamic sealing, power tools and consumer goods by offering these products: • Brushes • Assemblies • Chokes • Seals • Bushings, rotors and vanes We are the leader in our market, our brushes grades are often imitated but never duplicated.",1 001-5 000 employés,Industrie manufacturière,WINDHOF,Société civile/Société commerciale/Autres types de sociétés,1892,
AXONE,"Moteurs, génératrices et transformateurs électriques - Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 681 336 / 58 332 095,https://fr.linkedin.com/company/axone-sas,http://www.axonegroup.com,"Optimiser les systèmes industriels pour préserver le vivant. Forts de notre expertise architecture des systèmes complexes et en sûreté, nous souhaitons explorer d’autres champs d’application critiques pour le vivant, et aider nos clients à concilier écologie et technologie. Coconstruire ces compétences avec nos partenaires académiques, institutionnels et entreprises et les transmettre à nos clients et collaborateurs, pour favoriser l’émergence de solutions régénératives.",11-50 employés,Services et conseil aux entreprises,"MEYREUIL, PACA",Société civile/Société commerciale/Autres types de sociétés,2016,
BBT LIGHTING,Appareils d'éclairage.,Tunis,(216) - 71 976 834 / 26 310 550,https://fr.linkedin.com/company/shenzhen-best-bright-technology-co-ltd,http://www.bbtlight.com,"BBT manufacture UV Light, 222nm UV Light, Linear LED Light, LED High Bay, LED Street Light, LED Flood Light since 2009, we can provide lighting solution, OEM and ODM service to our clients. We have more than 12 years for energy solution business, our clients from North America, South America, European market, and Middle-easy, BBT has a professional supply system and R&D team, we provide service and products based on clients requirement. BBT sales team has more than 12 years, we know well how to do the international business, we can provide professional advice for clients.",201-500 employés,Commerce et développement international,"shenzhen, guangdong",Partenariat,2009,
BCM (SOUSSE),Instruments de mesure et de contrôle.,Sousse,(216) - 73 244 321 / 27 712 000,https://fr.linkedin.com/company/briqueterie-du-centre-menzel-hayet?trk=ppro_cprof,http://www.bcm-tn.com/,BRIQUETRIE DU CENTRE MENZEL HAYET est une entreprise Tunisienne leader dans le domaine de la production des briques rouge certifié iso 9001 version 2008.,501-1 000 employés,Industrie manufacturière,"Menzel Hayet, Monastir",Société indépendante,,
BERETTA TUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 29 641 566 / 29 275 305,https://fr.linkedin.com/company/beretta-tunisia,www.berettabowden.com,"Beretta est un leader mondial dans la conception et la construction de kits de suspension et de composants pour l’éclairage, câbles bowden, câbles en acier, transmission flexible, systèmes push-pull. Beretta a été fondée en 1948 par Giulio Beretta et les valeurs sur lesquelles l’entreprise a été construite sont inextricablement liées à son fondateur : curiosité, réalisme et fiabilité. Depuis des années, nous avons pu ajouter nos compétences en gestion et en innovation à notre vocation traditionnelle de fabricant. Aujourd’hui, Beretta est dans une position privilégiée pour offrir des solutions innovantes dès la première étape de la conception, en passant par le choix de la technologie et de l’industrialisation jusqu’à l’étape finale de la logistique.",51-200 employés,Industrie manufacturière,"Ben Arouss, Ben Arous",Travailleur indépendant,,
